Interpolated poverty gap index values per country:

                              Country  Year  Poverty_gap
                              Albania  1996     0.534846
                              Albania  2002     1.092647
                              Albania  2005     0.591086
                              Albania  2008     0.199925
                              Albania  2012     0.620691
                              Albania  2014     1.023101
                              Albania  2015     0.096067
                              Albania  2016     0.139303
                              Albania  2017     0.392570
                              Albania  2018     0.048107
                              Albania  2019     0.000000
                              Albania  2020     0.021277
                              Algeria  1988     6.420000
                              Algeria  1995     6.119000
                              Algeria  2011     0.000000
                               Angola  2000    21.360565
                               Angola  2008    14.589688
                               Angola  2018    31.122005
                    Argentina (urban)  1980     0.000000
                    Argentina (urban)  1986     1.119132
                    Argentina (urban)  1987     1.186086
                    Argentina (urban)  1991     0.972029
                    Argentina (urban)  1992     1.673713
                    Argentina (urban)  1993     1.976666
                    Argentina (urban)  1994     1.911327
                    Argentina (urban)  1995     3.855434
                    Argentina (urban)  1996     4.217567
                    Argentina (urban)  1997     3.765751
                    Argentina (urban)  1998     3.969189
                    Argentina (urban)  1999     4.187958
                    Argentina (urban)  2000     4.988261
                    Argentina (urban)  2001     8.234787
                    Argentina (urban)  2002    12.447155
                    Argentina (urban)  2003     5.363647
                    Argentina (urban)  2004     3.878988
                    Argentina (urban)  2005     2.683750
                    Argentina (urban)  2006     2.173589
                    Argentina (urban)  2007     1.797510
                    Argentina (urban)  2008     1.637588
                    Argentina (urban)  2009     1.553487
                    Argentina (urban)  2010     0.746541
                    Argentina (urban)  2011     0.711377
                    Argentina (urban)  2012     0.647047
                    Argentina (urban)  2013     0.666675
                    Argentina (urban)  2014     0.604780
                    Argentina (urban)  2016     0.696885
                    Argentina (urban)  2017     0.603796
                    Argentina (urban)  2018     1.044324
                    Argentina (urban)  2019     1.109743
                    Argentina (urban)  2020     1.173125
                    Argentina (urban)  2021     0.894218
                    Argentina (urban)  2022     0.611890
                              Armenia  1999    11.899414
                              Armenia  2001    13.974751
                              Armenia  2002     9.966604
                              Armenia  2003     7.539517
                              Armenia  2004     5.317806
                              Armenia  2005     2.629570
                              Armenia  2006     1.998593
                              Armenia  2007     1.536203
                              Armenia  2008     0.879694
                              Armenia  2009     1.247656
                              Armenia  2010     0.951465
                              Armenia  2011     1.185071
                              Armenia  2012     0.832222
                              Armenia  2013     1.738265
                              Armenia  2014     1.439143
                              Armenia  2015     1.146360
                              Armenia  2016     1.107947
                              Armenia  2017     0.785655
                              Armenia  2018     1.339821
                              Armenia  2019     1.030070
                              Armenia  2020     0.352011
                              Armenia  2021     0.523521
                              Armenia  2022     0.781078
                            Australia  1981     0.993503
                            Australia  1985     1.001310
                            Australia  1989     0.744275
                            Australia  1995     0.749782
                            Australia  2001     0.747412
                            Australia  2003     0.997331
                            Australia  2004     0.712537
                            Australia  2008     0.361232
                            Australia  2010     0.349168
                            Australia  2014     0.498484
                            Australia  2016     0.498742
                            Australia  2018     0.497094
                              Austria  1994     0.230915
                              Austria  1995     0.000000
                              Austria  1996     0.000000
                              Austria  1997     0.245983
                              Austria  1998     0.239445
                              Austria  1999     0.226005
                              Austria  2000     0.000000
                              Austria  2003     0.332203
                              Austria  2004     0.081653
                              Austria  2005     0.153690
                              Austria  2006     0.090110
                              Austria  2007     0.372292
                              Austria  2008     0.471167
                              Austria  2009     0.656235
                              Austria  2010     0.490703
                              Austria  2011     0.415404
                              Austria  2012     0.616917
                              Austria  2013     0.337998
                              Austria  2014     0.224260
